Abbey Road,51.53195199,0.003723371
Abbey Wood,51.4907841,0.12027197
Acton Central,51.50875778,-0.263430199
Acton Main Line,51.51688693,-0.267689952
Acton Town,51.50307144,-0.280302701
Aldgate,51.51434238,-0.075626913
Aldgate East,51.51508162,-0.073001463
All Saints,51.51047692,-0.012624885
Alperton,51.54120927,-0.299515759
Amersham,51.67412932,-0.606513789
Anerley,51.41251672,-0.0651371
Angel,51.53296802,-0.105581449
Archway,51.56549053,-0.135121577
Arnos Grove,51.61623014,-0.134270219
Arsenal,51.55854138,-0.105499934
Baker Street,51.52312962,-0.156904194
Balham,51.44318256,-0.152685163
Bank,51.51334706,-0.089000124
Barbican,51.52021528,-0.097721579
Barking,51.53952111,0.08083161
Barkingside,51.58585061,0.08847664
Barons Court,51.49022868,-0.213430145
Battersea Power Station,51.47949657,-0.142001353
Bayswater,51.51211129,-0.187901574
Beckton,51.51437663,0.061525297
Beckton Park,51.50890079,0.054821939
Becontree,51.53958541,0.126880292
Belsize Park,51.55019088,-0.163974493
Bermondsey,51.49796078,-0.06433009
Bethnal Green,51.52719174,-0.055392112
Bethnal Green Rail,51.52428274,-0.060013743
Blackfriars,51.51158693,-0.102995385
Blackhorse Road,51.58577663,-0.039625712
Blackwall,51.50783154,-0.007235166
Bond Street,51.51379752,-0.14961361
Borough,51.50104887,-0.094197323
Boston Manor,51.49576554,-0.324747189
Bounds Green,51.60703192,-0.124177066
Bow Church,51.5276152,-0.020499899
Bow Road,51.52704181,-0.024359591
Brent Cross,51.57659922,-0.213335841
Brentwood,51.61361034,0.299672816
Brixton,51.4627368,-0.114552098
Brockley,51.46474966,-0.037748251
Bromley-by-Bow,51.5248402,-0.011682374
Brondesbury,51.54526236,-0.202838486
Brondesbury Park,51.54032537,-0.210473947
Bruce Grove,51.59401125,-0.07039899
Buckhurst Hill,51.62657666,0.046712541
Burnham,51.52350505,-0.646388233
Burnt Oak,51.60255191,-0.264330712
Bush Hill Park,51.64148196,-0.069280413
Bushey,51.64554416,-0.384721541
Caledonian Road,51.54788544,-0.118360862
Caledonian Road and Barnsbury,51.54328458,-0.115204857
Cambridge Heath,51.53205976,-0.057203201
Camden Road,51.54185123,-0.139203113
Camden Town,51.53996935,-0.142452381
Canada Water,51.49816841,-0.050807121
Canary Wharf,51.5035784,-0.01946684
Canning Town,51.51387029,0.008305633
Cannon Street,51.51136209,-0.090250527
Canonbury,51.54818839,-0.092574196
Canons Park,51.60765057,-0.294391597
Carpenders Park,51.62818672,-0.385829324
Chadwell Heath,51.56804688,0.128901112
Chalfont and Latimer,51.66790748,-0.561067777
Chalk Farm,51.54414909,-0.153733071
Chancery Lane,51.51849402,-0.111962027
Charing Cross,51.50835863,-0.124802938
Chesham,51.70538002,-0.611429657
Cheshunt,51.70287331,-0.023887415
Chigwell,51.61785787,0.076179215
Chingford,51.63325337,0.009514326
Chiswick Park,51.49437071,-0.267736922
Chorleywood,51.65426593,-0.518333927
Clapham Common,51.46180367,-0.138314902
Clapham High Street,51.46546951,-0.132464503
Clapham Junction,51.46436678,-0.170315002
Clapham North,51.46491621,-0.129910063
Clapham South,51.45267649,-0.14798407
Clapton,51.56156909,-0.057489458
Cockfosters,51.65202448,-0.149916711
Colindale,51.59523052,-0.250287544
Colliers Wood,51.41875919,-0.1774151
Covent Garden,51.51276023,-0.124506895
Crossharbour and London Arena,51.49583998,-0.014932813
Crouch Hill,51.5713271,-0.117133285
Croxley,51.64700528,-0.441603798
Crystal Palace,51.41817035,-0.072607233
Custom House,51.50962206,0.02577251
Cutty Sark for Maritime Greenwich,51.48194447,-0.010581867
